cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,283,1,30041515,"[""100000006866783100"", ""100000008477350100"", ""100000002398779100"", ""100000000437046100"", ""100000004299488100""]",Signs of consolidation: 18 consolidators; 1 distributors; 9 coordinators; 12 transit; 1 terminals; internal KZT 30041515. Louvain on undirected weighted projection.
1,106,4,16242879,"[""100000004015047100"", ""100000007747786100"", ""100000002870463100"", ""100000002692750100"", ""100000008748408100""]",Signs of consolidation: 7 consolidators; 3 distributors; 0 coordinators; 4 transit; 3 terminals; internal KZT 16242879. Louvain on undirected weighted projection.
2,140,3,19196090,"[""100000003684369100"", ""100000008165763100"", ""100000008748914100"", ""100000008304139100"", ""100000004358004100""]",Signs of distribution: 2 consolidators; 4 distributors; 1 coordinators; 3 transit; 3 terminals; internal KZT 19196090. Louvain on undirected weighted projection.
3,41,3,4888834,"[""100000004156082100"", ""100000004820260100"", ""100000003221384100"", ""100000007131370100"", ""100000002575080100""]",Signs of pass-through: 0 consolidators; 0 distributors; 1 coordinators; 3 transit; 1 terminals; internal KZT 4888834. Louvain on undirected weighted projection.
4,104,1,21747440,"[""100000002838861100"", ""100000005498992100"", ""100000008489922100"", ""100000008547948100"", ""100000008710791100""]",Signs of consolidation: 12 consolidators; 7 distributors; 0 coordinators; 1 transit; 1 terminals; internal KZT 21747440. Louvain on undirected weighted projection.
5,129,7,18799215,"[""100000003016635100"", ""100000000706545100"", ""100000008144528100"", ""100000001530983100"", ""100000002173161100""]",Signs of pass-through: 5 consolidators; 2 distributors; 2 coordinators; 8 transit; 1 terminals; internal KZT 18799215. Louvain on undirected weighted projection.
6,5,0,1189154,"[""100000000291906100"", ""100000000291908100"", ""100000004670388100"", ""100000004722630100"", ""100000004691350100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 1 transit; 0 terminals; internal KZT 1189154. Louvain on undirected weighted projection.
7,53,1,3021863,"[""100000008680731100"", ""100000008636603100"", ""100000002679516100"", ""100000003265158100"", ""100000000922570100""]",Signs of pass-through: 1 consolidators; 1 distributors; 1 coordinators; 3 transit; 0 terminals; internal KZT 3021863. Louvain on undirected weighted projection.
8,111,0,14338244,"[""100000008603629100"", ""100000000661912100"", ""100000001857829100"", ""100000003880331100"", ""100000002723538100""]",Signs of consolidation: 3 consolidators; 3 distributors; 1 coordinators; 2 transit; 0 terminals; internal KZT 14338244. Louvain on undirected weighted projection.
9,6,1,1615030,"[""100000008751429100"", ""100000008659445100"", ""100000008736940100"", ""100000008193577100"", ""100000005456919100""]",Signs of consolidation: 1 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 1615030. Louvain on undirected weighted projection.
10,119,0,24439680,"[""100000000331309100"", ""100000000332284100"", ""100000001330685100"", ""100000006889963100"", ""100000008560717100""]",Signs of consolidation: 5 consolidators; 0 distributors; 1 coordinators; 2 transit; 3 terminals; internal KZT 24439680. Louvain on undirected weighted projection.
11,59,1,6772097,"[""100000000343175100"", ""100000003115284100"", ""100000006707582100"", ""100000008730846100"", ""100000007998965100""]",Signs of consolidation: 3 consolidators; 2 distributors; 0 coordinators; 3 transit; 1 terminals; internal KZT 6772097. Louvain on undirected weighted projection.
12,52,5,4171441,"[""100000008346837100"", ""100000008003034100"", ""100000000489417100"", ""100000006020215100"", ""100000005074393100""]",Signs of brokerage: 0 consolidators; 0 distributors; 2 coordinators; 2 transit; 0 terminals; internal KZT 4171441. Louvain on undirected weighted projection.
13,15,0,850450,"[""100000001526235100"", ""100000002472632100"", ""100000001788284100"", ""100000008471634100"", ""100000005505655100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 850450. Louvain on undirected weighted projection.
14,15,0,3626010,"[""100000006704530100"", ""100000008461532100"", ""100000000791285100"", ""100000003470579100"", ""100000003122817100""]",Signs of pass-through: 0 consolidators; 0 distributors; 0 coordinators; 1 transit; 0 terminals; internal KZT 3626010. Louvain on undirected weighted projection.
15,14,0,1605604,"[""100000008213966100"", ""100000000838385100"", ""100000007382543100"", ""100000003001661100"", ""100000004407753100""]",Signs of consolidation: 1 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 1605604. Louvain on undirected weighted projection.
16,1,1,0,"[""100000000456947100""]",No role-specific pattern under current thresholds: 0 consolidators; 0 distributors; 0 coordinators; 0 transit; 0 terminals; internal KZT 0. Louvain on undirected weighted projection.
17,61,0,4350467,"[""100000005704413100"", ""100000005578559100"", ""100000008104567100"", ""100000004569484100"", ""100000008379273100""]",Signs of brokerage: 0 consolidators; 1 distributors; 3 coordinators; 1 transit; 0 terminals; internal KZT 4350467. Louvain on undirected weighted projection.
